2021-02-28_10:16:02,Ahmadabad,24,15,68270,65462,133732,3314,1810,5124,3.83,Nagarpalika
2021-02-28_10:16:02,Amreli,39,39,110302,102978,213280,8652,4068,12720,5.96,Nagarpalika
2021-02-28_10:16:02,Anand,53,53,199229,192972,392201,16934,10287,27221,6.94,Nagarpalika
2021-02-28_10:16:02,Arvalli,15,15,34878,34489,69367,3051,1998,5049,7.28,Nagarpalika
2021-02-28_10:16:02,BanasKantha,28,17,116630,107564,224194,4949,2972,7921,3.53,Nagarpalika
2021-02-28_10:16:02,Bharuch,33,33,134465,130222,264687,10209,7029,17238,6.51,Nagarpalika
2021-02-28_10:16:02,Bhavnagar,24,24,67987,64177,132164,5391,3126,8517,6.44,Nagarpalika
2021-02-28_10:16:02,Botad,17,17,62086,58158,120244,4748,2449,7197,5.99,Nagarpalika
2021-02-28_10:16:02,DevbhumiDwarka,13,13,24848,23388,48236,2238,1215,3453,7.16,Nagarpalika
2021-02-28_10:16:02,Dohad,9,9,43099,42797,85896,3222,2208,5430,6.32,Nagarpalika
2021-02-28_10:16:02,Gandhinagar,18,18,67142,63821,130963,6843,4265,11108,8.48,Nagarpalika
2021-02-28_10:16:02,GirSomnath,32,28,102302,98670,200972,8022,4858,12880,6.41,Nagarpalika
2021-02-28_10:16:02,Jamnagar,7,7,10501,9981,20482,942,597,1539,7.51,Nagarpalika
2021-02-28_10:16:02,Junagadh,9,9,31920,29712,61632,2383,1242,3625,5.88,Nagarpalika
2021-02-28_10:16:02,Kachchh,49,48,223899,205551,429450,13998,7184,21182,4.93,Nagarpalika
2021-02-28_10:16:02,Kheda,38,34,139308,136416,275724,8564,5894,14458,5.24,Nagarpalika
2021-02-28_10:16:02,Mahesana,38,33,146205,137568,283773,12899,8507,21406,7.54,Nagarpalika
2021-02-28_10:16:02,Morbi,26,26,99200,91592,190792,8725,3804,12529,6.57,Nagarpalika
2021-02-28_10:16:02,Narmada,7,7,14435,14979,29414,1580,961,2541,8.64,Nagarpalika
2021-02-28_10:16:02,Navsari,19,19,122774,114496,237270,10690,5304,15994,6.74,Nagarpalika
2021-02-28_10:16:02,PanchMahals,17,17,65658,63394,129052,5933,3675,9608,7.45,Nagarpalika
2021-02-28_10:16:02,Patan,20,20,87861,82086,169947,7378,4633,12011,7.07,Nagarpalika
2021-02-28_10:16:02,Porbandar,13,13,94793,90435,185228,4943,2599,7542,4.07,Nagarpalika
2021-02-28_10:16:02,Rajkot,11,11,46389,43265,89654,2544,1504,4048,4.52,Nagarpalika
2021-02-28_10:16:02,SabarKantha,15,15,39922,38700,78622,3487,2070,5557,7.07,Nagarpalika
2021-02-28_10:16:02,Surat,29,29,54734,48680,103414,5009,2880,7889,7.63,Nagarpalika
2021-02-28_10:16:02,Surendranagar,41,39,162569,151850,314419,12366,5868,18234,5.80,Nagarpalika
2021-02-28_10:16:02,Tapi,7,7,16206,16471,32677,1722,1131,2853,8.73,Nagarpalika
2021-02-28_10:16:02,Vadodara,22,21,45406,44084,89490,4166,3016,7182,8.03,Nagarpalika
2021-02-28_10:16:02,Valsad,7,7,12159,9820,21979,1198,599,1797,8.18,Nagarpalika
